MVNAME,OBO,WD,UA_0.5W_T,UA_0.5W_M24,UA_0.5W_M26,UA_0.5W_F24,UA_0.5W_F26,TA_0.5W_T,TA_0.5W_M24,TA_0.5W_M26,TA_0.5W_F24,TA_0.5W_F26,DI_0.5W_T,DI_0.5W_M24,DI_0.5W_M26,DI_0.5W_F24,DI_0.5W_F26,FC_0.5W_T,FC_0.5W_M24,FC_0.5W_M26,FC_0.5W_F24,FC_0.5W_F26,FCO_0.5W_T,FCO_0.5W_M24,FCO_0.5W_M26,FCO_0.5W_F24,FCO_0.5W_F26,NM_0.5W_T,NM_0.5W_M24,NM_0.5W_M26,NM_0.5W_F24,NM_0.5W_F26,Year,MVID,GENRE1,GENRE2,STUDIO,RATING,DATE,MONTH,WKNDDAY,WKNM,WKNDGRS,WKGRS,SCRNS,PER_SCN,RANK,HOLIDAY,PERCENT,GRS,WW_GRS
42,27.5,3,17,19,16,17,17,58,59,67,50,54,38,39,38,35,44,9,10,10,6,10,13,16,16,8,16,NA,NA,NA,NA,NA,2013,42307,HUMN INTST DRMA,BIOGRAPHICAL,WARNER BROS.,PG-13,4/12/2013 1:00,4,3,1,27487144,36032101,3003,9153,1,NA,NA,95001343,NA
10 CLOVERFIELD LANE,24.7,3,18,17,19,15,22,66,63,72,60,71,38,44,38,37,35,7,8,6,9,6,14,15,16,14,11,3,3,4,3,3,2016,63506,SUSPNS/THRILLER,SCIENCE FICTION,PARAMOUNT,PG-13,3/11/2016 0:00,3,3,1,24702752,32676639,3391,7285,2,NA,NA,72055218,NA
12 YEARS A SLAVE,6.7,3,12,7,11,15,15,57,51,62,50,66,38,27,42,36,42,6,4,7,6,7,10,4,10,9,15,NA,NA,NA,NA,NA,2013,42156,HUMN INTST DRMA,REAL EVENTS,FOX SEARCHLIGHT PICTURES,R,11/8/2013 0:00,11,3,4,6675731,9503204,1144,5835,7,NA,39,56667870,NA
13 HOURS: THE SECRET SOLDIERS OF BENGHAZI,19.2,4,9,9,11,6,9,57,56,67,46,60,36,40,39,30,33,6,6,7,2,7,8,9,11,4,9,1,1,1,0,1,2016,63815,ACTION DRAMA,REAL EVENTS,PARAMOUNT,R,1/15/2016 0:00,1,4,1,19224408,23733429,2389,8047,4,MARTIN LUTHER KING,NA,52822418,NA
2 GUNS,27.1,3,18,21,22,13,16,75,79,87,62,73,42,41,43,39,43,10,9,12,6,9,18,19,21,12,19,NA,NA,NA,NA,NA,2013,42830,ACTION COMEDY,CRIME THEME,UNIVERSAL,R,8/2/2013 1:00,8,3,1,27059130,37388905,3025,8945,1,NA,NA,75573300,NA
21 AND OVER,8.8,3,15,17,13,16,12,66,71,67,69,58,35,44,29,39,26,5,5,3,5,3,10,13,6,12,8,NA,NA,NA,NA,NA,2013,40638,ZANY COMEDY,ACADEMIC SETTING,RELATIVITY MEDIA,R,3/1/2013 0:00,3,3,1,8754168,11783975,2771,3159,3,NA,NA,25675765,NA
22 JUMP STREET,57.1,3,32,32,31,34,33,94,93,91,97,94,53,59,46,58,46,16,21,11,21,12,25,32,20,29,20,NA,NA,NA,NA,NA,2014,45037,ACTION COMEDY,COP/DETECTIVE,COLUMBIA PICTURES,R,6/13/2014 1:00,6,3,1,57071445,82450130,3306,17263,1,NA,NA,191719337,NA
3 DAYS TO KILL,12.2,3,17,18,17,14,19,71,71,77,58,78,38,34,43,31,39,8,4,11,4,9,12,9,19,5,15,NA,NA,NA,NA,NA,2014,44091,SUSPNS/THRILLER,CRIME THEME,RELATIVITY MEDIA,PG-13,2/21/2014 0:00,2,3,1,12242218,15800883,2872,4263,2,NA,NA,30688364,NA
300: RISE OF AN EMPIRE,45,3,24,27,28,19,22,80,88,90,71,73,49,56,60,39,41,19,26,30,10,11,30,41,42,19,18,NA,NA,NA,NA,NA,2014,42186,ACTION DRAMA,PERIOD,WARNER BROS.,R,3/7/2014 0:00,3,3,1,45038460,59205553,3470,12979,1,NA,NA,106570809,NA
47 METERS DOWN,11.2,3,7,6,6,12,7,53,53,54,56,49,34,40,32,40,31,4,3,4,8,3,8,9,8,11,5,2,1,2,5,1,2017,66970,SUSPNS/THRILLER,AERIAL/NAUTICAL,ENTERTAINMENT STUDIOS MOTION PICTURES,PG-13,6/16/2017 1:00,6,3,1,11205562,16825932,2270,4936,5,NA,NA,44307164,NA
