MVID,MVNAME,OBO,OPG_DATE,TOTAL_0_UNAIDED AWARENESS,MU25_0_UNAIDED AWARENESS,MO25_0_UNAIDED AWARENESS,FU25_0_UNAIDED AWARENESS,FO25_0_UNAIDED AWARENESS,CAUC_0_UNAIDED AWARENESS,AF-AM_0_UNAIDED AWARENESS,LATINO_0_UNAIDED AWARENESS,ASN_OTHER_0_UNAIDED AWARENESS,TOTAL_0_TOTAL AWARENESS,MU25_0_TOTAL AWARENESS,MO25_0_TOTAL AWARENESS,FU25_0_TOTAL AWARENESS,FO25_0_TOTAL AWARENESS,CAUC_0_TOTAL AWARENESS,AF-AM_0_TOTAL AWARENESS,LATINO_0_TOTAL AWARENESS,ASN_OTHER_0_TOTAL AWARENESS,TOTAL_0_DEFINITE INTERST,MU25_0_DEFINITE INTERST,MO25_0_DEFINITE INTERST,FU25_0_DEFINITE INTERST,FO25_0_DEFINITE INTERST,CAUC_0_DEFINITE INTERST,AF-AM_0_DEFINITE INTERST,LATINO_0_DEFINITE INTERST,ASN_OTHER_0_DEFINITE INTERST,TOTAL_0_FIRST CHOICE,MU25_0_FIRST CHOICE,MO25_0_FIRST CHOICE,FU25_0_FIRST CHOICE,FO25_0_FIRST CHOICE,CAUC_0_FIRST CHOICE,AF-AM_0_FIRST CHOICE,ASN_OTHER_0_FIRST CHOICE,LATINO_0_FIRST CHOICE,TOTAL_0_FC_OP_REL,MU25_0_FC_OP_REL,MO25_0_FC_OP_REL,FU25_0_FC_OP_REL,FO25_0_FC_OP_REL,CAUC_0_FC_OP_REL,AF-AM_0_FC_OP_REL,LATINO_0_FC_OP_REL,ASN_OTHER_0_FC_OP_REL,TOTAL_0_UNAID INTENT,MU25_0_UNAID INTENT,MO25_0_UNAID INTENT,FU25_0_UNAID INTENT,FO25_0_UNAID INTENT,CAUC_0_UNAID INTENT,AF-AM_0_UNAID INTENT,LATINO_0_UNAID INTENT,ASN_OTHER_0_UNAID INTENT,CRITICSCORE,SCRNS,RATING_G,RATING_PG,RATING_PG-13,RATING_R,GENRE_ACTION ADVENTURE,GENRE_ACTION COMEDY,GENRE_ACTION DRAMA,GENRE_FAMILY,GENRE_HORROR,GENRE_HUMN INTST CMDY,GENRE_HUMN INTST DRMA,GENRE_ROMANTIC COMEDY,GENRE_ROMANTIC DRAMA,GENRE_SUSPNS/THRILLER,GENRE_ZANY COMEDY,GENRE_2_HIGH,GENRE_2_LOW,CAST_ANI CAST,CAST_KNOWN CAST,CAST_STAR CAST,CAST_UNKNOWN CAST,SEQUEL_NON-SEQUEL,SEQUEL_SEQUEL,MONTH_1,MONTH_2,MONTH_3,MONTH_4,MONTH_5,MONTH_6,MONTH_7,MONTH_8,MONTH_9,MONTH_10,MONTH_11,MONTH_12,STUDIO_GROUP_BIG,STUDIO_GROUP_SMALL,HowMany_LastWeek,HowMany_ThisWeek,HowMany_NextWeek,LastWeek_Big,LastWeek_Small
25005,Jurassic World,208806270,6/12/2015,41,42,38,42,44,42,39,40,53,98,99,98,97,98,99,97,96,96,68,70,70,63,67,67,68,69,71,24,26,29,21,20,25,21,21,23,33,38,40,27,28,34,29,34,37,24,24,25,20,26,24,18,22,31,71,4274,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1,2,0,0
34503,xXx: Return of Xander Cage,20130142,1/20/2017,18,19,22,17,16,16,19,23,28,75,80,85,62,69,70,84,78,86,46,52,50,41,39,41,55,53,51,8,10,12,7,6,7,12,22,9,13,13,18,10,10,11,18,13,27,5,5,7,3,4,4,7,5,11,44,3651,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,3,0,2
34960,Eddie the Eagle,6084682,2/26/2016,10,8,8,11,12,10,11,9,7,61,60,65,57,62,62,59,59,53,27,28,24,29,27,27,23,29,30,3,5,2,5,5,6,1,3,1,6,7,4,6,7,7,2,5,7,1,1,1,1,1,1,0,1,0,76,2042,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,3,3,0,2
35466,"Star is Born, A (2018)",44258051,10/5/2018,23,12,21,23,30,26,18,16,20,81,75,82,77,86,81,85,78,85,41,30,39,40,50,43,35,40,46,11,5,9,10,16,12,3,15,9,16,8,14,14,22,20,5,10,19,7,3,5,5,13,10,3,4,7,90,3686,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,2,3,0,1
35978,"Strangers: Prey at Night, The",10402271,3/9/2018,10,16,8,13,8,9,11,11,14,50,55,50,53,44,47,52,58,43,41,51,39,38,38,37,45,49,35,5,6,3,7,4,4,6,4,4,7,9,6,9,5,6,8,9,4,3,4,2,4,2,3,3,4,2,38,2464,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,4,2,0,0
36494,Zoolander 2,15881410,2/12/2016,22,22,20,26,24,23,21,22,22,93,92,93,93,93,93,91,92,94,43,45,44,43,42,43,47,46,28,8,8,6,9,8,7,9,16,7,9,9,8,10,10,9,10,9,12,5,4,4,6,5,5,3,5,5,23,3394,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,3,3,0,1
37106,Halloween (2018),76221545,10/19/2018,36,39,29,34,41,32,47,38,38,93,95,92,90,95,93,94,95,87,48,63,45,53,40,45,55,55,29,19,24,17,20,18,19,17,7,24,25,32,23,26,23,24,26,31,12,16,19,14,17,16,14,21,18,11,79,3928,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,2,1,0,1
39930,Hunter Killer,6653777,10/26/2018,10,10,13,8,8,9,12,10,13,44,45,54,27,40,45,45,38,49,36,36,37,36,36,36,36,45,25,3,5,4,1,2,4,2,8,1,6,6,9,2,6,7,7,4,8,2,2,2,2,1,1,2,2,2,36,2720,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,3,1,1
40590,"Good Dinosaur, The",39155217,11/25/2015,26,21,22,30,31,27,20,28,26,82,79,78,83,85,83,75,82,87,44,38,39,46,52,40,45,54,43,9,7,10,8,10,8,5,20,10,12,8,15,10,15,11,9,15,22,4,3,3,4,7,4,2,5,8,76,3749,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,2,1,1,2
41127,Power Rangers,40300288,3/24/2017,31,35,30,29,31,30,34,32,34,89,91,92,86,89,88,90,90,96,40,45,40,38,36,34,52,48,39,7,10,9,7,4,7,8,5,9,13,18,14,11,9,11,18,17,13,6,7,7,6,5,5,9,10,5,48,3693,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,3,2,1,1
